comment,label,cleaned_comment
هتل خوب .,1,هتل خوب.
دارای امکانات نسبتا مناسبی بود .,1,دارای امکانات نسبتا مناسبی بود.
هتلی بسیار تمیز .,1,هتلی بسیار تمیز.
پرسنلی متین ، باوقار و مهربان .,1,پرسنلی متین، باوقار و مهربان.
هوا‌ی دلپذیر .,1,هوا‌ی دلپذیر.
فضایی بسیار سرسبز .,1,فضایی بسیار سرسبز.
سوئیت خیلی مرتب .,1,سوئیت خیلی مرتب.
فضا دلپذیر بود .,1,فضا دلپذیر بود.
سوییت افتضاح بود .,0,سوییت افتضاح بود.
غذای معمولی .,0,غذای معمولی.
برخورد خوب بود .,1,برخورد خوب بود.
فضا هم خوب بود .,1,فضا هم خوب بود.
برخورد بسیا ر عالی کارمندان بخش رستوران تنها نکته مثبت این هتل بود .,1,برخورد بسیا ر عالی کارمندان بخش رستوران تنها نکته مثبت این هتل بود.
هتل خوب و تمیزی هست .,1,هتل خوب و تمیزی هست.
نسبتا آرام .,1,نسبتا آرام.
کارکنان مودب و تمیز .,1,کارکنان مودب و تمیز.
کادر رستوران تازه کار و مبتدی .,0,کادر رستوران تازه‌کار و مبتدی.
تا حدود زیادی در سرویس‌دهی سرگردان و عصبی بودند .,0,تا حدود زیادی در سرویس‌دهی سرگردان و عصبی بودند.
کیفیت غذای ناهار خوب .,1,کیفیت غذای ناهار خوب.
بوفه صبحانه عالی و متنوع و با کیفیت .,1,بوفه صبحانه عالی و متنوع و با کیفیت.
کارکنان مودب و حرفه‌ای .,1,کارکنان مودب و حرفه‌ای.
کافی‌شاپ هم خوب .,1,کافی‌شاپ هم خوب.
در مجموع هتل خوبی هست .,1,در مجموع هتل خوبی هست.
از اقامت در آنجا لذت خواهید برد .,1,از اقامت در آنجا لذت خواهید برد.
واقعا هتل خوبی هست .,1,واقعا هتل خوبی هست.
گاها در راهرو‌ها بوی فاضلاب می‌آید .,0,گاها در راهرو‌ها بوی فاضلاب می‌آید.
از هر لحاظ پسندیدم .,1,از هر لحاظ پسندیدم.
در کل عالی بود .,1,در کل عالی بود.
از لحاظ تمیزی و دسترسی به مرکز شهر هم عالی بود .,1,از لحاظ تمیزی و دسترسی به مرکز شهر هم عالی بود.
کمی اخلاق خانومی که تایم شب درپذیرش بود در حد این هتل نبود .,0,کمی اخلاق خانومی که تایم شب درپذیرش بود در حد این هتل نبود.
عالی هست .,1,عالی هست.
عالی بود .,1,عالی بود.
خیلی خوب هست .,1,خیلی خوب هست.
من برای سادات محله را رفتم تمیز هست .,1,من برای سادات محله را رفتم تمیز هست.
خیلی کم بو می‌دهد .,0,خیلی کم بو می‌دهد.
یک هتل خوب دارای امکانات عالی .,1,یک هتل خوب دارای امکانات عالی.
بوفه صبحانه متنوع .,1,بوفه صبحانه متنوع.
دکوراسیون زیبایی به اتاق‌ها دادند .,1,دکوراسیون زیبایی به اتاق‌ها دادند.
نقطه قوت این هتل بوفه صبحانه بود .,1,نقطه قوت این هتل بوفه صبحانه بود.
تنوع صبحانه زیاد شده بود .,1,تنوع صبحانه زیاد شده بود.
 صبحانه مانند تخم مرغ ، املت، سیب‌زمینی ، سوسیس، آش سبزی و عدسی به بوفه صبحانه اضافه شده بود .,1,صبحانه مانند تخم‌مرغ، املت، سیب‌زمینی، سوسیس، آش سبزی و عدسی به بوفه صبحانه اضافه‌شده بود.
کیفیت بالا نرخ پایین .,1,کیفیت بالا نرخ پایین.
اصلا خوب نبود .,0,اصلا خوب نبود.
غذا‌های بی‌مزه .,0,غذا‌های بی‌مزه.
برخورد بد پرسنل .,0,برخورد بد پرسنل.
اتاق‌‌های بدون پنجره و خفه و دلگیر .,0,اتاق‌های بدون پنجره و خفه و دلگیر.
ما که رفتیم خیلی عالی بود مخصوصا رفتار .,1,ما که رفتیم خیلی عالی بود مخصوصا رفتار.
مزه و قیمت غذا‌‌ها هم نسبت به جاهای دیگر خیلی خوب بود .,1,مزه و قیمت غذا‌ها هم نسبت به جاهای دیگر خیلی خوب بود.
هتل خوبی بود .,1,هتل خوبی بود.
نسبت به قیمت اتاق‌‌ها خیلی خوب بود .,1,نسبت به قیمت اتاق‌ها خیلی خوب بود.
طعم غذا‌ها خیلی خوب بود .,1,طعم غذا‌ها خیلی خوب بود.
به اماکن دیدنی شیراز هم نزدیک بود .,1,به اماکن دیدنی شیراز هم نزدیک بود.
مشکل ظرفیت محدود پارکینگ بود .,0,مشکل ظرفیت محدود پارکینگ بود.
منوی غذا‌ها تنوع زیادی نداشت .,0,منوی غذا‌ها تنوع زیادی نداشت.
سقف اتاق بسیار کوتاه .,0,سقف اتاق بسیار کوتاه.
امکانات بسیار محدود .,0,امکانات بسیار محدود.
تنوع صبحانه بسیار کم .,0,تنوع صبحانه بسیار کم.
از نظر موقعیت خوب بود .,1,از نظر موقعیت خوب بود.
سرو صدای اتاق‌های کناری و افرادی که در راهرو تردد داشتند آزاردهنده بود .,0,سرو صدای اتاق‌های کناری و افرادی که در راهرو تردد داشتند آزاردهنده بود.
اندازه اتاق‌‌ها و در کل خود هتل باعث دلگیر شدن ‌شده .,0,اندازه اتاق‌ها و در کل خود هتل باعث دلگیر شدن شده.
برخورد کارکنان خوب بود .,1,برخورد کارکنان خوب بود.
رستوران هم خوب بود .,1,رستوران هم خوب بود.
نسبت به سایر هتل‌ها قیمت مناسبی داشت و تمیز بود .,1,نسبت به سایر هتل‌ها قیمت مناسبی داشت و تمیز بود.
ظرفیت پایین پارکینگ .,0,ظرفیت پایین پارکینگ.
کوچیک بودن اتاق‌ها .,0,کوچیک بودن اتاق‌ها.
سروصدای اتاق‌های بغلی یک مقدار اذیت می‌کرد .,0,سروصدای اتاق‌های بغلی یک مقدار اذیت می‌کرد.
در کل خوب بود .,1,در کل خوب بود.
هتل خوبی بود .,1,هتل خوبی بود.
ازهمه لحاظ راضی کننده بود .,1,ازهمه لحاظ راضی‌کننده بود.
اتاق سه تخته‌ای که به ما داده بودند کمی کوچیک بود .,0,اتاق سه تخته‌ای که به ما داده بودند کمی کوچیک بود.
تنها عیب نداشتن پارکینگ هست .,0,تنها عیب نداشتن پارکینگ هست.
از تمام لحاظ خوب بود .,1,از تمام لحاظ خوب بود.
در کل از هتل رضایت داشتم .,1,در کل از هتل رضایت داشتم.
به دلیل تازه تاسیس بودن هتل ، پرسنل و مهمان‌داران تجربه کافی نداشتند .,0,به دلیل تازه تاسیس بودن هتل، پرسنل و مهمان‌داران تجربه کافی نداشتند.
برخورد پذیرش هتل سرد بود .,0,برخورد پذیرش هتل سرد بود.
کیفیت غذا‌ها متوسط بود .,0,کیفیت غذا‌ها متوسط بود.
اتاق اصلا تمیز نبود .,0,اتاق اصلا تمیز نبود.
وضعیت سرویس‌‌ها مناسب نبود .,0,وضعیت سرویس‌ها مناسب نبود.
کاسه توالت فرنگی شکسته بود .,0,کاسه توالت فرنگی شکسته بود.
پرسنل نیز آموزش دیده در برخورد با مسافر نیستند .,0,پرسنل نیز آموزش‌دیده در برخورد با مسافر نیستند.
هتل از نظر معماری در زمان ساخت خیلی خوب بود .,1,هتل از نظر معماری در زمان ساخت خیلی خوب بود.
اتاق‌ها قدیمی است .,0,اتاق‌ها قدیمی است.
نازک کاری مشکل دارد .,0,نازک‌کاری مشکل دارد.
اسپلیت‌ها جای مناسبی نصب نشده .,0,اسپلیت‌ها جای مناسبی نصب نشده.
سرویس بهداشتی و حمام قدیمی است .,0,سرویس بهداشتی و حمام قدیمی است.
سرویس و خدمات فعلی در حد هتل دو ستاره یا سه ستاره ضعیف است .,0,سرویس و خدمات فعلی در حد هتل دو ستاره یا سه ستاره ضعیف است.
راضی کننده نبود .,0,راضی‌کننده نبود.
کیفیت غذا هم جالب نبود .,0,کیفیت غذا هم جالب نبود.
بسیار جای با صفا و زیبایی است .,1,بسیار جای با صفا و زیبایی است.
خیلی زیبا و پاکیزه .,1,خیلی زیبا و پاکیزه.
همه چیز عالی هست .,1,همه چیز عالی هست.
پاکیزگی اتاق در حد خوب .,1,پاکیزگی اتاق در حد خوب.
کیفیت غذا‌‌ها مناسب .,1,کیفیت غذا‌ها مناسب.
کلا خوب بود .,1,کلا خوب بود.
محیطی آرام و دلنشین .,1,محیطی آرام و دلنشین.
پرسنل بااحترام برخورد می‌کردند .,1,پرسنل بااحترام برخورد می‌کردند.
وضعیت اتاق مرتب بود .,1,وضعیت اتاق مرتب بود.
فضای رستوران کوه نور با آن طراحی آبشار و موزیک وکیفیت غذا واقعا عالی بود .,1,فضای رستوران کوه نور با آن طراحی آبشار و موزیک وکیفیت غذا واقعا عالی بود.
هرچند قیمت بالا است ارزشش را دارد .,1,هرچند قیمت بالا است ارزشش را دارد.
نزدیک به مراکز تفریحی وخرید هست .,1,نزدیک به مراکز تفریحی وخرید هست.
بسیار خوب و عالی بود .,1,بسیار خوب و عالی بود.
هتل صدف بسیار خوب .,1,هتل صدف بسیار خوب.
اقامت دلچسبی داشتم .,1,اقامت دلچسبی داشتم.
پرسنل خوش برخورد .,1,پرسنل خوش‌برخورد.
نما و اتاق‌‌های زیبا .,1,نما و اتاق‌های زیبا.
غذای خوب .,1,غذای خوب.
عالی .,1,عالی.
عالی بود .,1,عالی بود.
صبحانه کیفیت نداشت .,0,صبحانه کیفیت نداشت.
موکت راهرو طبقات به شدت کثیف بود .,0,موکت راهرو طبقات به شدت کثیف بود.
هتل خوبی نبود .,0,هتل خوبی نبود.
دسترسیی خوب بود .,1,دسترسیی خوب بود.
کارمندها خوب .,1,کارمندها خوب.
صبحانه و نهارم بد نبود .,0,صبحانه و نهارم بد نبود.
راهرو‌ها موکت‌ها کنده شده بود .,0,راهرو‌ها موکت‌ها کنده شده بود.
اتاق تمیز بود .,1,اتاق تمیز بود.
کلا بد نبود .,0,کلا بد نبود.
هتل ۳ ستاره خوبی بود .,1,هتل ۳ ستاره خوبی بود.
دریاچه و ماهی کباب خیلی خوشمزه است .,1,دریاچه و ماهی کباب خیلی خوشمزه است.
عالی .,1,عالی.
نورگیر و مساحت اتاق مناسب نبود .,0,نورگیر و مساحت اتاق مناسب نبود.
هتل نسبتا خوبی بود .,1,هتل نسبتا خوبی بود.
در کل بنده راضی بودم .,1,در کل بنده راضی بودم.
فضای پارکینگ کم بود .,0,فضای پارکینگ کم بود.
دارای یک اتاق خواب ساکت با نور کافی و اتاق نشیمن با نور بسیار کم بود .,1,دارای یک اتاق‌خواب ساکت با نور کافی و اتاق نشیمن با نور بسیار کم بود.
مبلمان و سرویس خواب نسبتا قدیمی است .,0,مبلمان و سرویس خواب نسبتا قدیمی است.
سرویس حمام و دستشویی معمولی و کاملا تمیز بود .,1,سرویس حمام و دستشویی معمولی و کاملا تمیز بود.
نظافت اتاقها بصورت روزانه و عالی صورت می‌گرفت .,1,نظافت اتاقها بصورت روزانه و عالی صورت می‌گرفت.
پخش کانال‌ها از تلویزیون اصلا کیفیت نداشتند و همچنین تعدادشان نیز محدود بود .,0,پخش کانال‌ها از تلویزیون اصلا کیفیت نداشتند و همچنین تعدادشان نیز محدود بود.
فضای لابی خوب .,1,فضای لابی خوب.
فضا‌های داخلی هتل معمولی است .,0,فضا‌های داخلی هتل معمولی است.
دسترسی آسان به اماکن تاریخی و دیدنی از ویژگی‌‌های هتل‌‌های خیابان رودکی است .,1,دسترسی آسان به اماکن تاریخی و دیدنی از ویژگی‌های هتل‌های خیابان رودکی است.
در کل فضای رمانتیک و خوبی دارد .,1,در کل فضای رمانتیک و خوبی دارد.
متاسفانه صدای بیرون به طور محسوسی داخل اتاق می‌آید .,0,متاسفانه صدای بیرون به طور محسوسی داخل اتاق می‌آید.
اصلا عایق صوتی ندارد .,0,اصلا عایق صوتی ندارد.
رفتار پرسنل عالی هست .,1,رفتار پرسنل عالی هست.
ساختمان هتل قدیمی و بازسازی شده است .,1,ساختمان هتل قدیمی و بازسازی‌شده است.
اتاق‌ها در مجموع تمیز و راحت هستند .,1,اتاق‌ها در مجموع تمیز و راحت هستند.
عایق بودن صوتی کامل نمی‌باشد .,0,عایق بودن صوتی کامل نمی‌باشد.
کارکنان رستوران از دیسیپلین بسیار خوبی برخوردار هستند .,1,کارکنان رستوران از دیسیپلین بسیار خوبی برخوردار هستند.
ماخیلی راضی هستیم .,1,ماخیلی راضی هستیم.
خوب بود .,1,خوب بود.
رستوران جالب نبود .,0,رستوران جالب نبود.
هتل آرام و خوبی بود .,1,هتل آرام و خوبی بود.
هتل تمیز و معمولی .,1,هتل تمیز و معمولی.
در حد یک سه ستاره خوب .,1,در حد یک سه ستاره خوب.
رفتار پرسنل خوب .,1,رفتار پرسنل خوب.
صبحانه ضعیف .,0,صبحانه ضعیف.
در کل نسبت به هزینه من راضی بودم .,1,در کل نسبت به هزینه من راضی بودم.
ضمن تشکر از کادر پذیرش و برخورد خوبشان .,1,ضمن تشکر از کادر پذیرش و برخورد خوبشان.
متاسفانه رستوران آن به هیچ وجه خوب نبود .,0,متاسفانه رستوران آن به هیچ وجه خوب نبود.
غذا همیشه بصورت ناهماهنگ و سرد سرو می‌شد .,0,غذا همیشه بصورت ناهماهنگ و سرد سرو می‌شد.
برای چای نیز باید از کافی‌شاپ استفاده می‌شد که قیمت‌‌های آن بسیار گران بود .,0,برای چای نیز باید از کافی‌شاپ استفاده می‌شد که قیمت‌های آن بسیار گران بود.
فضای اتاق‌‌ها هم نامناسب .,0,فضای اتاق‌ها هم نامناسب.
در کل هتل خوبی هست .,1,در کل هتل خوبی هست.
پرسنل خوب و محترمی دارد .,1,پرسنل خوب و محترمی دارد.
خدمات رستوران و جهانگردی خیلی خوب بود .,1,خدمات رستوران و جهانگردی خیلی خوب بود.
نظافت اتاق بد بود .,0,نظافت اتاق بد بود.
درکل هتل خوبی بود .,1,درکل هتل خوبی بود.
خیلی خیلی خوب بود .,1,خیلی خیلی خوب بود.
واقعا از هتل کوثر رامسر راضی بودم .,1,واقعا از هتل کوثر رامسر راضی بودم.
از برخورد پرسنل و هم از تمیزی و نظافت اتاق‌ها .,1,از برخورد پرسنل و هم از تمیزی و نظافت اتاق‌ها.
همه چیز بسیار عالی بود .,1,همه چیز بسیار عالی بود.
اتاق‌ها بسیار دلباز و بزرگ بود .,1,اتاق‌ها بسیار دلباز و بزرگ بود.
نزدیکی و دسترسی به ساحل و مراکز تجاری از محسنات بود .,1,نزدیکی و دسترسی به ساحل و مراکز تجاری از محسنات بود.
ترانسفر فرودگاهی به موقع انجام شد .,1,ترانسفر فرودگاهی به موقع انجام شد.
صبحانه‌‌ها متنوع بود .,1,صبحانه‌ها متنوع بود.
برخورد پرسنل خیلی خوب بود .,1,برخورد پرسنل خیلی خوب بود.
گشت دور جزیزه را از هتل گرفتیم که خیلی عالی بود .,1,گشت دور جزیزه را از هتل گرفتیم که خیلی عالی بود.
لیدر گروه عکس‌های خیلی بی‌کیفیتی را با قیمت بالا به ما ارائه داد که دیگر فرصت اعتراض نداشتیم .,0,لیدر گروه عکس‌های خیلی بی‌کیفیتی را با قیمت بالا به ما ارائه داد که دیگر فرصت اعتراض نداشتیم.
سه وعده هم از رستوران هتل استفاده کردیم که غذای با توجه به قیمت بد نبود .,0,سه وعده هم از رستوران هتل استفاده کردیم که غذای با توجه به قیمت بد نبود.
ترانسفر رفت به موقع انجام شد .,1,ترانسفر رفت به موقع انجام شد.
هتل در موقعیت بسیار خوب از لحاظ نزدیکی به مراکز تجاری قرار داشت .,1,هتل در موقعیت بسیار خوب از لحاظ نزدیکی به مراکز تجاری قرار داشت.
محوطه زیبا بود .,1,محوطه زیبا بود.
کولر گازی در اتاق بسیار خوب بود .,1,کولر گازی در اتاق بسیار خوب بود.
معایب هتل بوی بسیار بد فاضلاب و نم در اتاق .,0,معایب هتل بوی بسیار بد فاضلاب و نم در اتاق.
برخورد پرسنل هنگام ورود خوب ، زمان خروج اصلا خوب نیست .,0,برخورد پرسنل هنگام ورود خوب، زمان خروج اصلا خوب نیست.
رستوران کم جا هست و باید منتظر باشیم تا میز خلوت ‌شود .,0,رستوران کم جا هست و باید منتظر باشیم تا میز خلوت شود.
خوب هست شکر خدا .,1,خوب هست شکر خدا.
مردم هم خوب هستند .,1,مردم هم خوب هستند.
از لحاظ مکانی فوق‌العاده خوب هست .,1,از لحاظ مکانی فوق‌العاده خوب هست.
خیلی خوب هست .,1,خیلی خوب هست.
هتل تمیزی هست و آدم احساس راحتی می‌کند .,1,هتل تمیزی هست و آدم احساس راحتی می‌کند.
صبحانه جزء قرارداد هتل هست متاسفانه خیلی بد ساپورت می‌کند .,0,صبحانه جزء قرارداد هتل هست متاسفانه خیلی بد ساپورت می‌کند.
نسبت به سه ستاره بودن هتل خوبی هست .,1,نسبت به سه ستاره بودن هتل خوبی هست.
صبحانه و نهار خوب بود .,1,صبحانه و نهار خوب بود.
اتاق وسرویس تمیز بود .,1,اتاق وسرویس تمیز بود.
زیبایی ، آرامش و پاکیزگی این هتل مثال‌زدنی است .,1,زیبایی، آرامش و پاکیزگی این هتل مثال‌زدنی است.
هتل برای کسانیکه دنبال آرامش ، محیط زیبا و فضای دل‌انگیز هستند بسیار مناسب هست .,1,هتل برای کسانیکه دنبال آرامش، محیط زیبا و فضای دل‌انگیز هستند بسیار مناسب هست.
با توجه به فاصله ده‌کیلومتری تا مرکز شهر ، ممکن هست برای مسافران کمی سخت به نظر بیاید .,0,با توجه به فاصله ده‌کیلومتری تا مرکز شهر، ممکن هست برای مسافران کمی سخت به نظر بیاید.
تاکسی هتل با هزینه نسبتا مناسب ، تا مرکز شهر می‌آورد .,1,تاکسی هتل با هزینه نسبتا مناسب، تا مرکز شهر می‌آورد.
هتل بسیار تمیز .,1,هتل بسیار تمیز.
لابی بزرگ .,1,لابی بزرگ.
صبحانه نسبتا متنوع .,1,صبحانه نسبتا متنوع.
از دو مدل غذای رستوران هم نستبا راضی بودیم .,1,از دو مدل غذای رستوران هم نستبا راضی بودیم.
بسیار زیبا است .,1,بسیار زیبا است.
کارمندان هتل بسیار بسیار مهربان ، مودب ، وظیفه‌شناس و با اخلاق هستند .,1,کارمندان هتل بسیار بسیار مهربان، مودب، وظیفه‌شناس و با اخلاق هستند.
هتل تمیز است .,1,هتل تمیز است.
کمی قدیمی هست .,0,کمی قدیمی هست.
هتل در حد خوب هست مدرن نیست .,1,هتل در حد خوب هست مدرن نیست.
اتاق‌‌هایش خیلی تمیز هست .,1,اتاق‌هایش خیلی تمیز هست.
رستوران و کافی‌شاپ در حد متوسطه .,0,رستوران و کافی‌شاپ در حد متوسطه.
صبحانه‌اش تعریفی ندارد .,0,صبحانه‌اش تعریفی ندارد.
کلا هتل متوسطی بود .,0,کلا هتل متوسطی بود.
از نظر فضا و نظافت هتل و اتاق‌ها و رستوران کاملا بینظیر بود .,1,از نظر فضا و نظافت هتل و اتاق‌ها و رستوران کاملا بینظیر بود.
موقعیت و فاصله اتاق‌ها از رستوران کاملا حساب‌شده و دقیق بود .,1,موقعیت و فاصله اتاق‌ها از رستوران کاملا حساب‌شده و دقیق بود.
قیمت کافی‌شاپ و رستوران زیاد بود .,0,قیمت کافی‌شاپ و رستوران زیاد بود.
مدیریت هتل ضعیف می‌باشد .,0,مدیریت هتل ضعیف می‌باشد.
اگر با آمادگی پیاده روی بروید یک سفر زیبا و خاطره‌انگیز می‌شود .,1,اگر با آمادگی پیاده‌روی بروید یک سفر زیبا و خاطره‌انگیز می‌شود.
روستای زیبایی دارد .,1,روستای زیبایی دارد.
ماسوله خیلی زیبا است .,1,ماسوله خیلی زیبا است.
واقعا در مدت اقامت ما خیلی عالی بودند .,1,واقعا در مدت اقامت ما خیلی عالی بودند.
کیفیت و خدمات اتاق‌‌ها واقعا نسبت به هتل‌‌های همتراز عالی بود .,1,کیفیت و خدمات اتاق‌ها واقعا نسبت به هتل‌های همتراز عالی بود.
ترنسفر عالی بود .,1,ترنسفر عالی بود.
کیفیت صبحانه بسیار خوب بود .,1,کیفیت صبحانه بسیار خوب بود.
کیفیت غذا‌های رستوران کمی پائین هست. ,0,کیفیت غذا‌های رستوران کمی پائین هست.
در کل می‌شود نمره بسیار خوب به سمت عالی را به هتل شما داد .,1,در کل می‌شود نمره بسیار خوب به سمت عالی را به هتل شما داد.
هتل خوبی هست .,1,هتل خوبی هست.
تمیز .,1,تمیز.
کیفیت شام رستوران خیلی بد بود .,1,کیفیت شام رستوران خیلی بد بود.
غذای خیلی کم بود .,1,غذای خیلی کم بود.
اتاق‌ها خیلی سرد بود .,0,اتاق‌ها خیلی سرد بود.
نور اتاقها بد بود .,0,نور اتاقها بد بود.
بقیه شرایط‌‌ خوب بود .,1,بقیه شرایط خوب بود.
هتل خیلی بدی بود .,0,هتل خیلی بدی بود.
رفتار بعضی از کارکنان افتضاح بود .,0,رفتار بعضی از کارکنان افتضاح بود.
کلا هتل خیلی بدی بود .,0,کلا هتل خیلی بدی بود.
عالی .,1,عالی.
خیلی خیلی خوب بود .,1,خیلی خیلی خوب بود.
از اردیبهشت تا شهریور بروید خیلی برای گردش جای خوبی است .,1,از اردیبهشت تا شهریور بروید خیلی برای گردش جای خوبی است.
خیلی خوب بود .,1,خیلی خوب بود.
هتل بهبود در کل هتل مناسبی است .,1,هتل بهبود در کل هتل مناسبی است.
نحوه برخورد یک مقدار ضعیف هست که باید روش کار بشود .,0,نحوه برخورد یک مقدار ضعیف هست که باید روش کار بشود.
در کل تمیز بود .,1,در کل تمیز بود.
راضی بودم .,1,راضی بودم.
عالی .,1,عالی.
کف و دیوار حمام رسوب و شوره زده‌ بود .,0,کف و دیوار حمام رسوب و شوره زده بود.
در دکوراسیون اندازه تلویزیون بزرگ ‌تر از قاب آن بود .,0,در دکوراسیون اندازه تلویزیون بزرگ‌تر از قاب آن بود.
قیمت آن با توجه به قیمت هتل پنج ستاره امیرکبیر اراک که آن هم برابر این هتل بود بسیار ناعادلانه است .,0,قیمت آن با توجه به قیمت هتل پنج ستاره امیرکبیر اراک که آن هم برابر این هتل بود بسیار ناعادلانه است.
ملایر شهر بسیار زیبا و خوبی است .,1,ملایر شهر بسیار زیبا و خوبی است.
با مردمی با فرهنگ و خون گرم .,1,با مردمی با فرهنگ و خون گرم.
اتاق‌‌ها از نظر روشنایی ضعیف هستند .,0,اتاق‌ها از نظر روشنایی ضعیف هستند.
خیلی کوچک .,0,خیلی کوچک.
سفرخوبی داشتیم .,1,سفرخوبی داشتیم.
بیشترین رضایت برای فضای باز بیرون .,1,بیشترین رضایت برای فضای باز بیرون.
بسیار فضای خوبی دارد .,1,بسیار فضای خوبی دارد.
کافی‌شاپ فضای باز هم برخورد بدی دارند .,0,کافی‌شاپ فضای باز هم برخورد بدی دارند.
کیفیت بسیار پایین .,0,کیفیت بسیار پایین.
قیمت‌ها بسیار بالا .,0,قیمت‌ها بسیار بالا.
جدیدا خواستم رزرو کنم قیمت‌ها خیلی زیاد هست .,0,جدیدا خواستم رزرو کنم قیمت‌ها خیلی زیاد هست.
نسبت به اینکه هتل قدیمی است وصد در صد مشکلاتی وجود خواهد داشت .,0,نسبت به اینکه هتل قدیمی است وصد در صد مشکلاتی وجود خواهد داشت.
آن موقع‌‌ها هم سرویس‌‌ها مشکل داشتند و چکه می‌کردند .,0,آن موقع‌ها هم سرویس‌ها مشکل داشتند و چکه می‌کردند.
یک جور‌ بسیار هتل الکی هست .,0,یک‌جور بسیار هتل الکی هست.
با قیمت بالای بهتر از این هم هتل می‌توانید انتخاب کنید .,0,با قیمت بالای بهتر از این هم هتل می‌توانید انتخاب کنید.
فضای بسیار عالی .,1,فضای بسیار عالی.
محیط آرام و با صفا .,1,محیط آرام و با صفا.
پرسنل خوب .,1,پرسنل خوب.
چون ساختمان هتل قدیمی است کف سرویس‌ها مشکل دارد .,0,چون ساختمان هتل قدیمی است کف سرویس‌ها مشکل دارد.
راه آب بسته است .,0,راه آب بسته است.
فشار آب هم کم هست .,0,فشار آب هم کم هست.
صرف نظر از سرویس بهداشتی جای بسیار خوبی است .,1,صرف‌نظر از سرویس بهداشتی جای بسیار خوبی است.
برای اولین بار بود که رفتم از طریق رزرواسیون مهر بسیار عالی بود .,1,برای اولین بار بود که رفتم از طریق رزرواسیون مهر بسیار عالی بود.
طبیعت زیبای جنگلی کنار دریا .,1,طبیعت زیبای جنگلی کنار دریا.
تا حالا ۲ بار رفتم عالی بود .,1,تا حالا ۲ بار رفتم عالی بود.
کلا خوب بود .,1,کلا خوب بود.
شهرستانی جالب و تاریخی است .,1,شهرستانی جالب و تاریخی است.
بسیار عالی است .,1,بسیار عالی است.
هروقت به بابلسر می‌آیم از نظر روحی و جسمی آرامش پیدا می‌کنم .,1,هروقت به بابلسر می‌آیم از نظر روحی و جسمی آرامش پیدا می‌کنم.
نرخ رستوران خیلی بالا بود .,0,نرخ رستوران خیلی بالا بود.
در مجموع بد نبود .,0,در مجموع بد نبود.
در کل هتل خوبی بود .,1,در کل هتل خوبی بود.
اتاق‌‌های دو تخته‌ای که در طبقه دوم هستند با وجود اینکه ما در اسفند ماه رفته بودیم از شدت گرما غیر قابل تحمل بود .,0,اتاق‌های دو تخته‌ای که در طبقه دوم هستند با وجود اینکه ما در اسفند ماه رفته بودیم از شدت گرما غیر قابل‌تحمل بود.
خدمات‌دهی اصلا مناسب نیست .,0,خدمات‌دهی اصلا مناسب نیست.
اتاق‌ها مرتب می‌شوند .,1,اتاق‌ها مرتب می‌شوند.
پارکینگ ندارد .,0,پارکینگ ندارد.
صبحانه فاقد کیفیت مناسب است .,0,صبحانه فاقد کیفیت مناسب است.
در مجموع به دلایلی از این هتل راضی نیستم .,0,در مجموع به دلایلی از این هتل راضی نیستم.
نور اصلا کافی نبود .,0,نور اصلا کافی نبود.
نهار رستوران با توجه به قیمت منو زیاد بود .,0,نهار رستوران با توجه به قیمت منو زیاد بود.
در نظافت روزانه اتاقها ، حوله‌‌ها و ملحفه‌‌ها تعویض نشدند .,0,در نظافت روزانه اتاقها، حوله‌ها و ملحفه‌ها تعویض نشدند.
رفتار پرسنل بسیار محترمانه بود .,1,رفتار پرسنل بسیار محترمانه بود.
صبور و مهمان نواز و آرام بودند .,1,صبور و مهمان‌نواز و آرام بودند.
اتاقی که ما در آن اقامت داشتیم واقعا عالی بود .,1,اتاقی که ما در آن اقامت داشتیم واقعا عالی بود.
در قسمت سرویس‌‌ها نور کافی نبود .,0,در قسمت سرویس‌ها نور کافی نبود.
هوا‌های اتاق کمی سرد بود .,0,هوا‌های اتاق کمی سرد بود.
هیتر داخلی هم گرم نمی‌کرد .,0,هیتر داخلی هم گرم نمی‌کرد.
شاید از تاسیسات مرکزی اشکال داشت .,0,شاید از تاسیسات مرکزی اشکال داشت.
به هرحال ما از رفتار و منش کارکنان راضی بودیم .,1,به هرحال ما از رفتار و منش کارکنان راضی بودیم.
دور بودن آن معضل بزرگی بود .,0,دور بودن آن معضل بزرگی بود.
متاسفانه وضع صبحانه و نوع پذیرائیی در مقایسه با هتل‌های دیگر ضعیف بود .,0,متاسفانه وضع صبحانه و نوع پذیرائیی در مقایسه با هتل‌های دیگر ضعیف بود.
در مجموع هتل زیبا با پرسنلی مودب و کوشا بود .,1,در مجموع هتل زیبا با پرسنلی مودب و کوشا بود.
هتل فوق کثیف .,0,هتل فوق کثیف.
بدون امکانات .,0,بدون امکانات.
درکل هتل خوبی هست از نظر قیمت و خدماتی که ارائه می‌دهد .,1,درکل هتل خوبی هست از نظر قیمت و خدماتی که ارائه می‌دهد.
فاصله تا مراکز مورد نیاز ارزشش را دارد .,1,فاصله تا مراکز مورد نیاز ارزشش را دارد.
درمجموع هتل خوب و آرامی هست .,1,درمجموع هتل خوب و آرامی هست.
برخورد پرسنل همیشه خوب بود .,1,برخورد پرسنل همیشه خوب بود.
خیلی کثیف و نامرتب بود .,0,خیلی کثیف و نامرتب بود.
